date,T,Po,P,Pa,U,ff10
22.02.2025 14:00,19.9,760.1,766.6,-2.6,60,4
22.02.2025 11:00,16.8,762.7,769.2,0.9,66,4
22.02.2025 08:00,14.6,761.8,768.3,1.3,74,4
22.02.2025 05:00,14.4,760.5,766.9,-1.1,75,7
22.02.2025 02:00,13.4,761.6,768.1,-0.2,79,7
21.02.2025 23:00,15.6,761.8,768.3,1,69,7
21.02.2025 20:00,16.2,760.8,767.3,1.1,65,7
21.02.2025 17:00,18.2,759.7,766.2,-0.5,61,7
21.02.2025 14:00,18.2,760.2,766.6,-1.6,62,
21.02.2025 11:00,18.5,761.8,768.3,0.6,65,7
21.02.2025 08:00,15.7,761.2,767.7,1.5,77,7
21.02.2025 05:00,16.8,759.7,766,-0.1,73,7
21.02.2025 02:00,18.4,759.8,766.2,,77,
20.02.2025 23:00,19.3,760,766.3,1.4,74,7
20.02.2025 20:00,21.2,758.6,765.1,1.3,65,7
20.02.2025 17:00,23.4,757.3,763.6,-0.5,57,7
20.02.2025 14:00,24,757.8,764.2,,56,7
20.02.2025 08:00,15.7,760.2,766.6,1.2,87,4
20.02.2025 05:00,15.6,759,765.4,-0.4,88,4
20.02.2025 02:00,16.5,759.4,765.7,,82,5
19.02.2025 23:00,17.9,759.8,766.3,1,74,8
19.02.2025 20:00,19.6,758.8,765.2,1.2,68,
19.02.2025 17:00,21.6,757.6,763.9,-0.9,60,8
19.02.2025 14:00,21.5,758.5,764.9,-2.8,61,8
19.02.2025 11:00,18.9,761.3,767.8,0.3,66,
19.02.2025 08:00,15.6,761,767.5,1,76,
19.02.2025 05:00,15.4,760,766.4,-0.2,75,7
19.02.2025 02:00,16.2,760.2,766.6,-0.3,71,7
18.02.2025 23:00,16,760.5,766.9,,72,7
18.02.2025 17:00,19.6,758.3,764.8,-0.8,59,7
18.02.2025 14:00,20.7,759.1,765.6,-2.2,55,7
18.02.2025 11:00,17.1,761.3,767.8,0.4,66,6
18.02.2025 08:00,15.4,760.9,767.3,1.3,66,6
18.02.2025 05:00,15.9,759.6,766,-0.2,66,5
18.02.2025 02:00,16.7,759.8,766.3,-0.2,72,3
17.02.2025 23:00,17.4,760,766.5,0.6,84,7
17.02.2025 20:00,18.2,759.4,765.9,1.5,78,7
17.02.2025 17:00,19.3,757.9,764.3,-0.2,69,7
17.02.2025 14:00,19.6,758.1,764.5,-1.9,66,
17.02.2025 11:00,19.7,760,766.5,-0.1,61,
17.02.2025 08:00,14,760.1,766.6,1.2,75,8
17.02.2025 05:00,13.4,758.9,765.4,-0.4,77,8
17.02.2025 02:00,15.2,759.3,765.7,0.2,73,8
16.02.2025 23:00,16.3,759.1,765.5,1.5,73,8
16.02.2025 20:00,18.5,757.6,764.1,1.8,71,7
16.02.2025 17:00,24,755.8,762.1,,59,7
16.02.2025 14:00,24.9,756.4,762.7,-1.9,59,7
16.02.2025 11:00,20.8,758.3,764.7,1.1,72,4
16.02.2025 08:00,17,757.2,763.6,1.5,87,4
16.02.2025 05:00,17.8,755.7,762.1,0.1,92,
16.02.2025 02:00,17,755.6,762,0.1,94,4
15.02.2025 23:00,17.3,755.5,761.9,1.2,93,4
15.02.2025 20:00,18.3,754.3,760.6,0.9,89,4
15.02.2025 17:00,22.1,753.4,759.7,-1.2,74,4
15.02.2025 14:00,21.7,754.6,760.9,-2.1,72,4
15.02.2025 11:00,17.7,756.7,763.1,0.6,92,4
15.02.2025 08:00,17.6,756.1,762.5,1.1,87,6
15.02.2025 05:00,17.3,755,761.4,-1.1,86,
15.02.2025 02:00,17.6,756.1,762.5,0,85,
14.02.2025 23:00,18,756.1,762.4,1,82,
