date,T,Po,P,U,tavg,tmin,tmax,prcp,wspd
2005-02-01,9.4,761.6999999999999,765.5,60.66666666666666,9.4,8.0,10.5,0.0,8.1
2005-02-02,8.15,762.1,765.975,89.75,8.1,7.2,9.0,1.1,5.7
2005-02-03,8.975,761.25,765.1,94.5,8.9,7.9,9.8,0.9,3.8
2005-02-04,13.025,759.4,763.175,93.0,12.9,9.8,15.7,0.0,2.6
2005-02-05,17.775,758.625,762.375,89.5,17.7,15.0,20.7,0.0,1.8
2005-02-06,19.7,759.375,763.025,88.0,19.6,17.1,25.0,0.0,6.3
2005-02-07,20.875,760.825,764.5,81.75,20.8,18.2,26.8,0.0,4.8
2005-02-08,19.5,761.25,764.95,86.5,19.4,16.2,23.6,0.0,5.6
2005-02-09,21.275,761.025,764.7,81.75,21.2,19.0,24.6,0.0,3.6
2005-02-10,15.25,763.975,767.7,74.0,15.2,12.3,21.6,0.0,14.1
2005-02-11,13.05,765.575,769.375,61.5,13.0,10.3,16.7,0.0,8.7
2005-02-12,15.075,763.975,767.775,65.0,15.0,12.7,19.4,0.0,9.0
2005-02-13,16.475,762.25,766.0,67.75,16.4,12.1,22.5,0.0,5.9
2005-02-14,18.6,759.375,763.075,79.25,18.5,16.6,20.4,0.7,4.5
2005-02-15,21.175,756.675,760.35,82.5,21.1,18.9,25.8,0.0,7.2
2005-02-16,23.175,754.775,758.45,83.5,23.1,21.1,27.2,0.0,8.7
2005-02-17,14.075,755.9,759.625,90.25,14.0,12.7,23.2,2.5,11.7
2005-02-18,10.225,760.625,764.45,78.75,10.1,8.6,12.7,2.9,15.2
2005-02-19,9.6,764.825,768.675,59.5,9.5,8.2,12.4,0.0,20.0
2005-02-20,8.125,766.45,770.35,50.0,8.0,6.5,9.8,0.0,14.7
2005-02-21,7.4,765.2,769.125,66.25,7.3,6.1,8.9,0.1,7.4
2005-02-22,7.475,762.4,766.3,92.5,7.4,6.2,8.6,2.5,4.8
2005-02-23,11.0,756.95,760.8,93.5,10.9,8.6,12.7,0.3,1.9
2005-02-24,15.875,754.2,757.9,93.25,15.8,12.5,19.3,0.4,2.4
2005-02-25,18.95,755.375,759.05,90.5,18.9,16.2,23.2,1.2,3.3
2005-02-26,15.65,759.5,763.225,94.0,15.6,13.5,18.9,8.5,7.2
2005-02-27,11.75,761.25,765.075,93.25,11.7,10.7,13.5,5.7,7.2
2005-02-28,11.875,762.725,766.525,74.75,11.8,8.9,15.3,8.2,13.2
2005-03-01,10.7,763.5,767.325,86.75,10.6,9.9,13.2,3.7,6.5
2005-03-02,10.425,763.75,767.55,92.75,10.3,9.9,11.0,5.8,7.5
2005-03-03,12.125,766.0,769.825,66.75,12.0,9.8,16.2,2.1,14.7
2005-03-04,11.15,768.9,772.775,65.0,11.1,9.0,15.0,0.3,8.6
2005-03-05,11.75,770.425,774.2750000000001,62.75,11.7,7.0,18.8,0.1,6.8
2005-03-06,13.6,767.725,771.525,43.5,13.5,6.3,20.8,0.0,6.3
2005-03-07,15.8,765.8,769.625,58.5,15.7,9.2,22.9,0.0,5.7
2005-03-08,17.825,762.75,766.525,71.75,17.7,12.0,24.4,0.0,6.2
2005-03-09,20.025,759.875,763.6,76.0,19.9,17.1,22.7,0.0,5.0
2005-03-10,21.025,756.125,759.825,80.75,20.9,18.2,23.6,0.0,5.4
2005-03-11,21.475,755.6,759.3,88.75,21.4,20.2,23.0,0.6,4.8
2005-03-12,15.3,759.525,763.275,86.0,15.2,8.4,21.9,45.7,15.2
2005-03-13,7.7,766.4749999999999,770.35,61.25,7.6,5.8,8.7,0.4,15.0
2005-03-14,10.7,763.05,766.9,55.25,10.6,8.7,13.5,0.0,4.5
2005-03-15,12.45,760.425,764.25,76.25,12.4,10.0,15.4,0.0,3.8
2005-03-16,17.35,760.3,764.075,82.0,17.3,13.9,21.3,0.0,3.2
2005-03-17,21.0,759.625,763.325,85.25,20.9,17.4,25.6,1.7,6.6
2005-03-18,21.5,761.5,765.15,60.5,21.4,17.8,25.1,0.0,9.5
2005-03-19,19.95,761.9,765.6,65.5,19.9,16.9,23.8,0.0,6.0
2005-03-20,20.15,760.55,764.275,59.5,20.1,14.1,26.5,0.0,5.9
2005-03-21,20.525,757.675,761.375,78.25,20.4,18.1,23.2,0.0,6.3
2005-03-22,22.4,754.95,758.6,80.5,22.3,18.5,26.9,14.0,5.0
2005-03-23,17.625,759.15,762.85,67.0,17.5,14.7,22.4,19.2,14.7
2005-03-24,17.4,763.1,766.8,50.75,17.3,14.2,21.4,0.0,12.8
2005-03-25,18.175,762.225,765.975,52.0,18.1,14.7,21.8,0.0,4.7
2005-03-26,18.35,759.1,762.775,77.5,18.3,15.8,21.7,1.6,3.6
2005-03-27,21.075,756.65,760.3,84.0,21.0,19.1,23.8,0.0,3.8
2005-03-28,23.05,756.375,760.025,87.5,23.0,21.2,28.1,0.0,3.2
2005-03-29,23.925,755.325,758.975,83.5,23.8,21.6,27.4,0.5,8.4
2005-03-30,19.525,755.25,758.9,86.75,19.4,17.0,23.5,9.2,6.9
2005-03-31,17.75,756.15,759.875,93.0,17.7,16.9,18.8,16.3,5.2
